module_id	check	detail
DBD_MU_GM14391	dbd_no_identifier	DBD entry has neither jaspar_id nor uniprot_id
DBD_MU_ZFP981	dbd_no_identifier	DBD entry has neither jaspar_id nor uniprot_id
DBD_MU_GM5141	dbd_no_identifier	DBD entry has neither jaspar_id nor uniprot_id
DBD_MU_RHOX3H	dbd_no_identifier	DBD entry has neither jaspar_id nor uniprot_id
DBD_MU_ZFP619	dbd_no_identifier	DBD entry has neither jaspar_id nor uniprot_id
DBD_MU_GM17067	dbd_no_identifier	DBD entry has neither jaspar_id nor uniprot_id
ED_MUKUND_2023_ACTIVATORS_NOTC1_HUMAN_NODP	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_ACTIVATORS_RBP2_HUMAN_ZF-RANBP	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_ACTIVATORS_ZN573_HUMAN_ZF-C2H2_6	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_ACTIVATORS_ZC3H3_HUMAN_ZF-CCCH	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_ACTIVATORS_NCOA1_HUMAN_NUC_REC_CO-ACT	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_ACTIVATORS_IMA5_HUMAN_ARM	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_ACTIVATORS_IMA4_HUMAN_ARM	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_ACTIVATORS_IMA3_HUMAN_ARM	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_ACTIVATORS_EPAS1_HUMAN_HIF-1	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_ACTIVATORS_DSRAD_HUMAN_Z-ALPHA	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_ACTIVATORS_BCL2_HUMAN_BH4	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_ZN564_HUMAN_ZF-C2H2_6	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_LMBL1_HUMAN_MBT	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_SMBT2_HUMAN_MBT	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_NOTC4_HUMAN_EGF	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_PABP1_HUMAN_PABP	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_SART3_HUMAN_LSM_INT_ASSOC	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_TEP1_HUMAN_TEP1_N	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_ZN331_HUMAN_ZF-C2H2_6	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_ZN420_HUMAN_ZF-H2C2_2	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_ZN490_HUMAN_ZF-C2H2_4	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_ZN557_HUMAN_ZF-H2C2_2	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_ZN578_HUMAN_ZF-C2H2_6	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_ZN736_HUMAN_ZF-C2H2_6	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_ZNF20_HUMAN_ZF-C2H2_6	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_H2AW_HUMAN_HISTONE_H2A_C	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_ID4_HUMAN_HLH	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_TBL1X_HUMAN_WD40	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_ZN404_HUMAN_ZF-C2H2_6	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_RBP2_HUMAN_ZF-RANBP	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_ZN573_HUMAN_ZF-C2H2_6	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_ZC3H3_HUMAN_ZF-CCCH	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_NCOA1_HUMAN_NUC_REC_CO-ACT	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_IMA5_HUMAN_ARM	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_IMA4_HUMAN_ARM	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_IMA3_HUMAN_ARM	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_EPAS1_HUMAN_HIF-1	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_DSRAD_HUMAN_Z-ALPHA	missing_metric	screen-sourced ED has no quantitative_metric
ED_MUKUND_2023_REPRESSORS_BCL2_HUMAN_BH4	missing_metric	screen-sourced ED has no quantitative_metric
